abs_error,group
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
2,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
2,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
2,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
2,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
2,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
2,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
2,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
2,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
2,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
2,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
2,250 Speakers
0,250 Speakers
0,250 Speakers
2,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
2,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
3,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
2,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
2,250 Speakers
0,250 Speakers
2,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
2,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
1,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
2,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
1,250 Speakers
0,250 Speakers
0,250 Speakers
0,250 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
2,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
2,500 Speakers
1,500 Speakers
0,500 Speakers
2,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
2,500 Speakers
2,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
2,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
2,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
2,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
1,500 Speakers
0,500 Speakers
1,500 Speakers
0,500 Speakers
0,500 Speakers
0,500 Speakers
